corrected_comment,rating,sentiment
Mua điện thoại tại hệ thống về lên website giá thấp hơn là sao nhỉ?,3,0
"Mới mua 23ul, ngày 1.5. cập nhật ui6.1 sọc màn có đẻ, 1 đổi 1 k shop.",3,0
"Mình có mua số 23 ultra ngày 30/04, xài đc 1 tuần là bị tình trạng tróc viền camera, mặc dù có ốp lưng, hàng cao cấp mà bị tróc quá sớm, mình thấy khá thất vọng.",2,0
"Chào điện máy Xanh, tôi có mua con S23 Ultra bên siêu thị, giờ tôi muốn bán lại thì được bao nhiêu ạ, tôi mua được một tháng?",5,1
"Máy tốt, không lỗi gì nhé. Camera và bộ công cụ chỉnh sửa ảnh rất tiện dụng.",5,1
Mới mua 22tr9 lúc mấy hôm nay giảm còn 20tr9 chán luôn.,5,1
May mắn là ok.,5,1
Hài lòng về sản phẩm: Rất cảm ơn các bạn nhân viên siêu thị thế giới di động thị trấn Thủ Thừa tỉnh Long An đã nhiệt tình hỗ trợ mình.,5,1
"Loa nghe hơi nhỏ, camera trước chụp hình không đẹp bằng note 20, hơi thất vọng.",3,0
Camera đẹp!,5,1
Tôi rất hài lòng với sản phẩm sam sung Sa23 ultra.,5,1
Tốt trong tầm giá nên trải nghiệm.,5,1
"Xài cũng ok mà muốn lên 12g, ai bù thêm bao nhiêu z ad.",4,1
"Minh mới mua mấy tháng chưa bị rớt mà mang hình bị lắc ra, hỏi thi bao tai, minh làm cân mấy nói hang không bao hanh bao thấy mang hình thi mất 89tr làm thế ai giám sai.",1,0
Rất tốt với dòng sản phẩm này.,5,1
Rất tốt.,5,1
tốt.,4,1
Good !,5,1
"Máy rất tốt, đẹp, pin trâu, rất mượt .",5,1
Tôi rất hài lòng về sản phẩm số 23 ultra.,5,1
"Pin nhanh hết, hay bị mất sóng, càng dùng càng dở.",1,0
Luôn luôn ủng hộ điện máy xanh.,5,1
"Tinh hoa công nghệ, đỉnh cao của điện thoại thông minh, tích hợp những công nghệ tối tân nhất vào trong một chiếc máy.Thiết kế sexy, cầm nắm đã tay, cảm giác mềm mại như làn da thiếu nữ vậy.. Màn hình đẹp, pin trâu, hiệu năng ổn định, chơi game tốt, đa nhiệm tuyệt vời, ứng dụng phong phú, khả năng tùy biến cao.Chụp ảnh đẹp, chụp xa, chụp gần gì cũng đều chụp rất tốt.Tuy nhiên vẫn hơi nặng tay, màn hình cong hơn chút thì đẹp hơn.Tổng kết lại thì mình vẫn vô cùng hài lòng với Samsung Galaxy S23 Ultra.",5,1
Máy sài mượt nhưng chạy 2 sim thì sống 3g rất yếu.,4,1
Tốt .,5,1
"Mới mua sử dụng được 1 tháng, mình cảm thấy máy cảm ứng mượt mà, pin sử dụng được 2 ngày quá OK.",5,1
Ok hết nha shock.,5,1
Ngon bổ giá phải chăng?.,5,1
"Máy bị lỗi cache sau khi cập nhật phần mềm, dùng rất khó chịu, kết nối wifi kém. Chức năng khác tốt.",2,0
Điện thoại em vừa mới mua được 1 tuần mà đã vỡ mặt sau thì giờ bán được bao nhiêu nhỉ?,5,1
Tuyệt vời.,5,1
Tôt .,4,1
Tốt 5 sao.,5,1
Ok !,5,1
Sp ok?,5,1
Sp ok?,5,1
Cảm ơn.,5,1
Dùng ok?,5,1
"Máy chỉ ngon khi dành cho người biết sử dụng, có hiểu biết chuyên sâu sẽ tận dụng được hết chức năng của máy này.. Đánh giá máy: Máy cầm nhẹ, màn hình to, chụp hình đẹp quay đẹp, đèn pin máy này sáng hơn iphone , pin hẹo, mau hết, màn hình 2k khó mua kính cường lực do thiết kế bo viền ,cầm máy siêu nóng, OS Samsung One UI mượt nhẹ, tối ưu tốt, .",5,1
